regular_NOCs, PD
Init: players
Step:0
players[252]: Index: 252; Strategy: True; AccPayOffs: 3
players[253]: Index: 253; Strategy: True; AccPayOffs: 2
players[254]: Index: 254; Strategy: True; AccPayOffs: 4
players[255]: Index: 255; Strategy: True; AccPayOffs: 4
players[256]: Index: 256; Strategy: True; AccPayOffs: 2
players[257]: Index: 257; Strategy: True; AccPayOffs: 3
players[258]: Index: 258; Strategy: True; AccPayOffs: 1
players[259]: Index: 259; Strategy: True; AccPayOffs: 2
players[260]: Index: 260; Strategy: True; AccPayOffs: 1
players[261]: Index: 261; Strategy: True; AccPayOffs: 3
players[262]: Index: 262; Strategy: False; AccPayOffs: 4
players[263]: Index: 263; Strategy: True; AccPayOffs: 3
players[264]: Index: 264; Strategy: True; AccPayOffs: 8
players[265]: Index: 265; Strategy: True; AccPayOffs: 3
players[266]: Index: 266; Strategy: True; AccPayOffs: 4
players[267]: Index: 267; Strategy: False; AccPayOffs: 2
players[268]: Index: 268; Strategy: False; AccPayOffs: 0
players[269]: Index: 269; Strategy: True; AccPayOffs: 2
players[270]: Index: 270; Strategy: True; AccPayOffs: 1
players[271]: Index: 271; Strategy: True; AccPayOffs: 4
players[272]: Index: 272; Strategy: True; AccPayOffs: 4
players[273]: Index: 273; Strategy: False; AccPayOffs: 4
players[274]: Index: 274; Strategy: False; AccPayOffs: 2
players[275]: Index: 275; Strategy: True; AccPayOffs: 2
players[276]: Index: 276; Strategy: True; AccPayOffs: 8
players[277]: Index: 277; Strategy: True; AccPayOffs: 4
players[278]: Index: 278; Strategy: True; AccPayOffs: 1
players[279]: Index: 279; Strategy: True; AccPayOffs: 6
players[280]: Index: 280; Strategy: True; AccPayOffs: 6
players[281]: Index: 281; Strategy: False; AccPayOffs: 2
players[282]: Index: 282; Strategy: False; AccPayOffs: 6
players[283]: Index: 283; Strategy: True; AccPayOffs: 8
players[284]: Index: 284; Strategy: True; AccPayOffs: 1
players[285]: Index: 285; Strategy: True; AccPayOffs: 6
players[286]: Index: 286; Strategy: True; AccPayOffs: 2
players[287]: Index: 287; Strategy: True; AccPayOffs: 6
